vpn_code,id,data
10004010,55047,"{""id"" : 55047, ""hkh_nr_id"" : ""55047"", ""vpn_id"" : 10004010, ""public_number"" : ""33123450009"", ""global_call_limiter"" : 512, ""no_answer_timeout"" : 4000, ""label"" : ""+33123450009"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004010,55048,"{""id"" : 55048, ""hkh_nr_id"" : ""55048"", ""vpn_id"" : 10004010, ""public_number"" : ""33123450005"", ""global_call_limiter"" : 512, ""no_answer_timeout"" : 4000, ""label"" : ""+33123450005"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004010,55049,"{""id"" : 55049, ""hkh_nr_id"" : ""55049"", ""vpn_id"" : 10004010, ""public_number"" : ""33123450008"", ""global_call_limiter"" : 512, ""no_answer_timeout"" : 4000, ""label"" : ""+33123450008"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004010,55050,"{""id"" : 55050, ""hkh_nr_id"" : ""55050"", ""vpn_id"" : 10004010, ""public_number"" : ""33123450003"", ""global_call_limiter"" : 512, ""no_answer_timeout"" : 20000, ""label"" : ""+33123450003"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004010,55051,"{""id"" : 55051, ""hkh_nr_id"" : ""55051"", ""vpn_id"" : 10004010, ""public_number"" : ""33476526150"", ""global_call_limiter"" : 20, ""no_answer_timeout"" : 5000, ""label"" : ""+33476526150"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10003728,55063,"{""id"" : 55063, ""hkh_nr_id"" : ""55063"", ""vpn_id"" : 10003728, ""public_number"" : ""33478548732"", ""global_call_limiter"" : 100, ""no_answer_timeout"" : 20000, ""label"" : ""test OMS"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004565,55084,"{""id"" : 55084, ""hkh_nr_id"" : ""55084"", ""vpn_id"" : 10004565, ""public_number"" : ""33556297707"", ""global_call_limiter"" : 10, ""no_answer_timeout"" : 20000, ""label"" : ""33556297707"", ""possibility"" : ""TRUE"", ""uui"" : ""TRUE"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""G"", ""header_list"" : []}"
10004565,55083,"{""id"" : 55083, ""hkh_nr_id"" : ""55083"", ""vpn_id"" : 10004565, ""public_number"" : ""33557017990"", ""global_call_limiter"" : 10, ""no_answer_timeout"" : 20000, ""label"" : ""33557017990"", ""possibility"" : ""TRUE"", ""uui"" : ""TRUE"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""G"", ""header_list"" : []}"
10004565,55085,"{""id"" : 55085, ""hkh_nr_id"" : ""55085"", ""vpn_id"" : 10004565, ""public_number"" : ""33495063450"", ""global_call_limiter"" : null, ""no_answer_timeout"" : 20000, ""label"" : ""04 95 06 34 50"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004565,55089,"{""id"" : 55089, ""hkh_nr_id"" : ""55089"", ""vpn_id"" : 10004565, ""public_number"" : ""33495063465"", ""global_call_limiter"" : 1, ""no_answer_timeout"" : 20000, ""label"" : ""04 95 06 34 65"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004565,55086,"{""id"" : 55086, ""hkh_nr_id"" : ""55086"", ""vpn_id"" : 10004565, ""public_number"" : ""33495063461"", ""global_call_limiter"" : 1, ""no_answer_timeout"" : 20000, ""label"" : ""04 95 06 34 61"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004565,55087,"{""id"" : 55087, ""hkh_nr_id"" : ""55087"", ""vpn_id"" : 10004565, ""public_number"" : ""33495063463"", ""global_call_limiter"" : 1, ""no_answer_timeout"" : 20000, ""label"" : ""04 95 06 34 63"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004565,55090,"{""id"" : 55090, ""hkh_nr_id"" : ""55090"", ""vpn_id"" : 10004565, ""public_number"" : ""33150427015"", ""global_call_limiter"" : 255, ""no_answer_timeout"" : 20000, ""label"" : ""01 50 42 70 15"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10003860,55101,"{""id"" : 55101, ""hkh_nr_id"" : ""55101"", ""vpn_id"" : 10003860, ""public_number"" : ""33156789876"", ""global_call_limiter"" : 100, ""no_answer_timeout"" : 20000, ""label"" : ""ADV"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004010,55044,"{""id"" : 55044, ""hkh_nr_id"" : ""55044"", ""vpn_id"" : 10004010, ""public_number"" : ""33123450001"", ""global_call_limiter"" : null, ""no_answer_timeout"" : 4000, ""label"" : ""+33123450001"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004553,55061,"{""id"" : 55061, ""hkh_nr_id"" : ""55061"", ""vpn_id"" : 10004553, ""public_number"" : ""33478548732"", ""global_call_limiter"" : 10, ""no_answer_timeout"" : 20000, ""label"" : ""33478548732"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004565,55088,"{""id"" : 55088, ""hkh_nr_id"" : ""55088"", ""vpn_id"" : 10004565, ""public_number"" : ""33495063464"", ""global_call_limiter"" : 1, ""no_answer_timeout"" : 20000, ""label"" : ""04 95 06 34 64"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004576,54897,"{""id"" : 54897, ""hkh_nr_id"" : ""54897"", ""vpn_id"" : 10004576, ""public_number"" : ""33545394124"", ""global_call_limiter"" : 100, ""no_answer_timeout"" : 20000, ""label"" : ""33545394124"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004576,54898,"{""id"" : 54898, ""hkh_nr_id"" : ""54898"", ""vpn_id"" : 10004576, ""public_number"" : ""33140694044"", ""global_call_limiter"" : 100, ""no_answer_timeout"" : 20000, ""label"" : ""33140694044"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004576,54900,"{""id"" : 54900, ""hkh_nr_id"" : ""54900"", ""vpn_id"" : 10004576, ""public_number"" : ""33140694170"", ""global_call_limiter"" : 100, ""no_answer_timeout"" : 20000, ""label"" : ""33140694170"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004576,54906,"{""id"" : 54906, ""hkh_nr_id"" : ""54906"", ""vpn_id"" : 10004576, ""public_number"" : ""33140694046"", ""global_call_limiter"" : 100, ""no_answer_timeout"" : 20000, ""label"" : ""33140694046"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004576,54907,"{""id"" : 54907, ""hkh_nr_id"" : ""54907"", ""vpn_id"" : 10004576, ""public_number"" : ""33545394128"", ""global_call_limiter"" : 100, ""no_answer_timeout"" : 20000, ""label"" : ""33545394128"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
10004576,54908,"{""id"" : 54908, ""hkh_nr_id"" : ""54908"", ""vpn_id"" : 10004576, ""public_number"" : ""33140695600"", ""global_call_limiter"" : 100, ""no_answer_timeout"" : 20000, ""label"" : ""33140695600"", ""possibility"" : ""SAN_LEVEL"", ""uui"" : ""SAN_LEVEL"", ""spn_mode"" : ""DEFAULT"", ""call_transfer_mode"" : ""NO_DELAYED_OFFER"", ""int_dc"" : ""B"", ""header_list"" : []}"
