vpn_code,id,data
10000259,10000259,"{""id"" : 10000259, ""vpn_code"" : ""10000259"", ""name"" : ""ESPACS"", ""vpn_id_sip"" : ""10000259"", ""customer_reference"" : ""CD02TP4PF0"", ""forced_onnet"" : true, ""private_prefix_length"" : 2, ""offnet_via_bcr_allowed"" : true, ""it_key"" : ""CD02TP4PF0"", ""customer_index_for_billing"" : null, ""hk_master"" : ""HOOKAH"", ""hk_redirect_percentage"" : 0, ""partition_right"" : ""BTIP"", ""state"" : ""OPENED""}"
10000262,10000262,"{""id"" : 10000262, ""vpn_code"" : ""10000262"", ""name"" : ""AUDITIA Gamez Huilizen"", ""vpn_id_sip"" : ""10000262"", ""customer_reference"" : ""CD02SWBEF7"", ""forced_onnet"" : false, ""private_prefix_length"" : 2, ""offnet_via_bcr_allowed"" : true, ""it_key"" : ""CD02SWBEF7"", ""customer_index_for_billing"" : null, ""hk_master"" : ""HOOKAH"", ""hk_redirect_percentage"" : 0, ""partition_right"" : ""BTIP"", ""state"" : ""OPENED""}"
10000266,10000266,"{""id"" : 10000266, ""vpn_code"" : ""10000266"", ""name"" : ""DSDT"", ""vpn_id_sip"" : ""10000266"", ""customer_reference"" : ""CD02TRUPFF"", ""forced_onnet"" : false, ""private_prefix_length"" : 2, ""offnet_via_bcr_allowed"" : true, ""it_key"" : ""CD02TRUPFF"", ""customer_index_for_billing"" : null, ""hk_master"" : ""HOOKAH"", ""hk_redirect_percentage"" : 0, ""partition_right"" : ""BTIP"", ""state"" : ""OPENED""}"
10000269,10000269,"{""id"" : 10000269, ""vpn_code"" : ""10000269"", ""name"" : ""GAUVAIN"", ""vpn_id_sip"" : ""10000269"", ""customer_reference"" : ""CD02UZM9A6"", ""forced_onnet"" : false, ""private_prefix_length"" : 2, ""offnet_via_bcr_allowed"" : true, ""it_key"" : ""CD02UZM9A6"", ""customer_index_for_billing"" : null, ""hk_master"" : ""HOOKAH"", ""hk_redirect_percentage"" : 0, ""partition_right"" : ""BTIP"", ""state"" : ""OPENED""}"
10000270,10000270,"{""id"" : 10000270, ""vpn_code"" : ""10000270"", ""name"" : ""LAFITTEVPN"", ""vpn_id_sip"" : ""10000270"", ""customer_reference"" : ""CD02VYGRC7"", ""forced_onnet"" : true, ""private_prefix_length"" : 2, ""offnet_via_bcr_allowed"" : true, ""it_key"" : ""CD02VYGRC7"", ""customer_index_for_billing"" : null, ""hk_master"" : ""HOOKAH"", ""hk_redirect_percentage"" : 0, ""partition_right"" : ""BTIP"", ""state"" : ""OPENED""}"
5809,5809,"{""id"" : 5809, ""vpn_code"" : ""5809"", ""name"" : ""OTEC"", ""vpn_id_sip"" : ""5809"", ""customer_reference"" : ""36423"", ""forced_onnet"" : false, ""private_prefix_length"" : 2, ""offnet_via_bcr_allowed"" : true, ""it_key"" : ""CD02BRB498"", ""customer_index_for_billing"" : null, ""hk_master"" : ""HOOKAH"", ""hk_redirect_percentage"" : 0, ""partition_right"" : ""BT"", ""state"" : ""OPENED""}"
10000273,10000273,"{""id"" : 10000273, ""vpn_code"" : ""10000273"", ""name"" : ""MANUDAX"", ""vpn_id_sip"" : ""10000273"", ""customer_reference"" : ""CD02TT9EFE"", ""forced_onnet"" : false, ""private_prefix_length"" : 2, ""offnet_via_bcr_allowed"" : true, ""it_key"" : ""CD02TT9EFE"", ""customer_index_for_billing"" : null, ""hk_master"" : ""HOOKAH"", ""hk_redirect_percentage"" : 0, ""partition_right"" : ""BTIP"", ""state"" : ""OPENED""}"
4515,4515,"{""id"" : 4515, ""vpn_code"" : ""4515"", ""name"" : ""CEGOS"", ""vpn_id_sip"" : ""4515"", ""customer_reference"" : ""679779"", ""forced_onnet"" : true, ""private_prefix_length"" : 3, ""offnet_via_bcr_allowed"" : true, ""it_key"" : ""zzz4515"", ""customer_index_for_billing"" : null, ""hk_master"" : ""HOOKAH"", ""hk_redirect_percentage"" : 0, ""partition_right"" : ""BT"", ""state"" : ""OPENED""}"
5580,5580,"{""id"" : 5580, ""vpn_code"" : ""5580"", ""name"" : ""CENTRE FRANCE COMMUNICATION"", ""vpn_id_sip"" : ""5580"", ""customer_reference"" : ""36423"", ""forced_onnet"" : true, ""private_prefix_length"" : 4, ""offnet_via_bcr_allowed"" : true, ""it_key"" : ""CD01Q9UAAB"", ""customer_index_for_billing"" : null, ""hk_master"" : ""HOOKAH"", ""hk_redirect_percentage"" : 0, ""partition_right"" : ""BT"", ""state"" : ""OPENED""}"
4510,4510,"{""id"" : 4510, ""vpn_code"" : ""4510"", ""name"" : ""Mercer Consulting / Marsh"", ""vpn_id_sip"" : ""4510"", ""customer_reference"" : ""10966"", ""forced_onnet"" : false, ""private_prefix_length"" : 3, ""offnet_via_bcr_allowed"" : true, ""it_key"" : ""zzz4510"", ""customer_index_for_billing"" : ""4510"", ""hk_master"" : ""HOOKAH"", ""hk_redirect_percentage"" : 0, ""partition_right"" : ""BT"", ""state"" : ""OPENED""}"
